lemma,type,comment,tag,form,ipa,py_ipa_original,py_ipa_tweak
п'ядикове́цький,прикметник,,однина жін. р. знахідний,п'ядикове́цьку,pjɐdekɔˈu̯ɛt͡sʲkʊ,pjɐdekɔˈu̯ɛt͡sʲkʊ,pjɐdekɔˈu̯ɛt͡sʲkʊ
п'ятикімна́тний,прикметник,,множина місцевий,п'ятикімна́тних,pjɐtekʲiˈmnɑtnex,pjɐtekʲiˈmnɑtnex,pjɐtekʲiˈmnɑtnex
п'ятимільйо́нний,прикметник,,однина чол. р. місцевий,п'ятимільйо́нному,pjɐtemʲiˈlʲjɔnːɔmʊ,pjɐtemʲiˈlʲjɔnːɔmʊ,pjɐtemʲiˈlʲjonːɔmʊ
п'ятидеся́тницький,прикметник,,множина місцевий,п'ятидеся́тницьких,pjɐtedeˈsʲɑtnet͡sʲkex,pjɐtedeˈsʲɑtnet͡sʲkex,pjɐtedeˈsʲɑtnet͡sʲkex
на зразо́к,прислівник,незмінювана словникова одиниця,,на зразо́к,nɐ zrɐˈzɔk,nɐ zrɐˈzɔk,nɐ zrɐˈzok
оп'яня́ти,дієслово недоконаного виду,,минулий час однина жін. р.,оп'яня́ла,ɔpjɐˈnʲɑlɐ,ɔpjɐˈnʲɑlɐ,ɔpjɐˈnʲɑlɐ
об'їда́ння,іменник середнього роду,,однина називний,об'їда́ння,ɔbjiˈdɑnʲːɐ,ɔbjiˈdɑnʲːɐ,ɔbjiˈdɑnʲːɐ
об'ї́здити,дієслово доконаного виду,проїхати навколо; обминути; побувати в багатьох місцях,минулий час множина сер.р.,об'ї́здили,ɔˈbjizdele,ɔˈbjizdele,ɔˈbjizdele
вв'яза́тися,дієслово доконаного виду,"невідступно іти, бігти за ким-, чим-небудь",минулий час однина сер.р.,вв'яза́лось,ʋːjɐˈzɑlɔsʲ,ʋːjɐˈzɑlɔsʲ,ʋːjɐˈzɑlɔsʲ
вв'я́зувати,дієслово недоконаного виду,"зв'язувати, вплітати у щось",минулий час множина жін. р.,вв'я́зували,ˈʋːjɑzʊu̯ɐle,ˈʋːjɑzʊu̯ɐle,ˈʋːjɑzʊu̯ɐle
об'їда́тися,дієслово недоконаного виду,,дієприслівник,об'їда́ючись,ɔbjiˈdɑjʊt͡ʃesʲ,ɔbjiˈdɑjʊt͡ʃesʲ,ɔbjiˈdɑjʊt͡ʃesʲ
ув'я́зливий,прикметник,,однина жін. р. родовий,ув'я́зливої,ʊu̯ˈjɑzleu̯ɔji,ʊu̯ˈjɑzleu̯ɔji,uu̯ˈjɑzleu̯ɔji
об'єдна́тися,дієслово доконаного виду,,минулий час однина чол.р.,об'єдна́всь,ɔbjeˈdnɑu̯sʲ,ɔbjeˈdnɑu̯sʲ,ɔbjeˈdnɑu̯sʲ
ув'я́зуватися,дієслово недоконаного виду,втручатися,минулий час однина чол. р.,ув'я́зувався,ʊu̯ˈjɑzʊu̯ɐu̯sʲɐ,ʊu̯ˈjɑzʊu̯ɐu̯sʲɐ,uu̯ˈjɑzʊu̯ɐu̯sʲɐ
ад'ю́нктський,прикметник,,однина сер. р. місцевий,ад'ю́нктськім,ɐˈdjunkt͡sʲkʲim,ɐˈdjunkt͡sʲkʲim,ɐˈdjunkt͡sʲkʲim
об'є́днуваний,дієприкметник,,однина чол. р. орудний,об'є́днуваним,ɔˈbjɛdnʊu̯ɐnem,ɔˈbjɛdnʊu̯ɐnem,ɔˈbjɛdnʊu̯ɐnem
об'єкти́вніший,"прикметник, вищий ступінь",,множина давальний,об'єкти́внішим,ɔbjeˈktɪu̯nʲiʃem,ɔbjeˈktɪu̯nʲiʃem,ɔbjeˈktɪu̯nʲiʃem
ув'я́знюватися,дієслово недоконаного виду,,минулий час множина сер. р.,ув'я́знювались,ʊu̯ˈjɑzʲnʲʊu̯ɐlesʲ,ʊu̯ˈjɑzʲnʲʊu̯ɐlesʲ,uu̯ˈjɑzʲnʲʊu̯ɐlesʲ
Ед,"іменник чоловічого роду, істота",,множина родовий,Е́дів,ˈɛdʲiu̯,ˈɛdʲiu̯,ˈɛdʲiu̯
По,іменник жіночого роду,річка в Італії,однина орудний,По,ˈpɔ,ˈpɔ,pɔ
ле,іменник середнього роду,пісенно-драматичний жанр у середньовічній Франції,однина давальний,ле,ˈlɛ,ˈlɛ,ˈlɛ
Ер-Рія́д,іменник чоловічого роду,столиця Саудівської Аравії,однина кличний,Ер-Рія́де,er-rʲiˈjɑde,er-rʲiˈjɑde,er-rʲiˈjɑde
фа-діе́з-міно́р,іменник чоловічого роду,,однина давальний,фа-діе́з-міно́ру,fɐ-dʲiˈɛz-mʲiˈnɔrʊ,fɐ-dʲiˈɛz-mʲiˈnɔrʊ,fɐ-dʲiˈɛz-mʲiˈnorʊ
ля-бемо́ль-мажо́рний,прикметник,,множина родовий,ля-бемо́ль-мажо́рних,lʲɐ-beˈmɔlʲ-mɐˈʒɔrnex,lʲɐ-beˈmɔlʲ-mɐˈʒɔrnex,lʲɐ-beˈmolʲ-mɐˈʒornex
мі-міно́рний,прикметник,,однина сер. р. місцевий,мі-міно́рнім,mʲi-mʲiˈnɔrnʲim,mʲi-mʲiˈnɔrnʲim,mʲi-mʲiˈnornʲim
по-ри́мському,прислівник,незмінювана словникова одиниця,,по-ри́мському,pɔ-ˈrɪmsʲkɔmʊ,pɔ-ˈrɪmsʲkɔmʊ,pɔ-ˈrɪmsʲkɔmʊ
по-індіа́нськи,прислівник,незмінювана словникова одиниця,,по-індіа́нськи,pɔ-inʲdʲiˈɑnʲsʲke,pɔ-inʲdʲiˈɑnʲsʲke,pɔ-inʲdʲiˈɑnʲsʲke
по-спарта́ківськи,прислівник,незмінювана словникова одиниця,,по-спарта́ківськи,pɔ-spɐrˈtɑkʲiu̯sʲke,pɔ-spɐrˈtɑkʲiu̯sʲke,pɔ-spɐrˈtɑkʲiu̯sʲke
по-імпера́торськи,прислівник,незмінювана словникова одиниця,,по-імпера́торськи,pɔ-impeˈrɑtɔrsʲke,pɔ-impeˈrɑtɔrsʲke,pɔ-impeˈrɑtɔrsʲke
по-пролета́рському,прислівник,незмінювана словникова одиниця,,по-пролета́рському,pɔ-prɔleˈtɑrsʲkɔmʊ,pɔ-prɔleˈtɑrsʲkɔmʊ,pɔ-prɔleˈtɑrsʲkɔmʊ
луп'я́р,"іменник чоловічого роду, істота",,однина знахідний,луп'яра́,lʊpjɐˈrɑ,lʊpjɐˈrɑ,lʊpjɐˈrɑ
Ков'ярі́,множинний іменник,населений пункт в Україні,множина місцевий,Ков'яря́х,kɔu̯jɐˈrʲɑx,kɔu̯jɐˈrʲɑx,kɔu̯jɐˈrʲɑx
лип'я́нка,іменник жіночого роду,діжка з липового дерева,множина орудний,лип'я́нками,leˈpjɑnkɐme,leˈpjɑnkɐme,leˈpjɑnkɐme
зіп'ясти́,дієслово доконаного виду,,майбутній час множина 1 особа,зіпнемо́,zʲipneˈmɔ,zʲipneˈmɔ,zʲipneˈmo
сов'я́чий,прикметник,,однина сер. р. знахідний,сов'я́че,sɔu̯ˈjɑt͡ʃe,sɔu̯ˈjɑt͡ʃe,sɔu̯ˈjɑt͡ʃe
бур'я́нчик,іменник чоловічого роду,,однина орудний,бур'я́нчиком,bʊˈrjɑnt͡ʃekɔm,bʊˈrjɑnt͡ʃekɔm,bʊˈrjɑnt͡ʃekɔm
від'є́мник,іменник чоловічого роду,,множина орудний,від'є́мниками,ʋʲiˈdjɛmnekɐme,ʋʲiˈdjɛmnekɐme,ʋʲiˈdjɛmnekɐme
зав'ю́жити,дієслово доконаного виду,,наказовий спосіб однина 2 особа,зав'ю́ж,zɐu̯ˈjuʒ,zɐu̯ˈjuʒ,zɐu̯ˈjuʒ
сім'яні́жка,іменник жіночого роду,,множина кличний,сім'яні́жки,sʲimjɐˈnʲiʒke,sʲimjɐˈnʲiʒke,sʲimjɐˈnʲiʒke
диз'ю́нкція,іменник жіночого роду,,множина давальний,диз'ю́нкціям,deˈzjunkt͡sʲijɐm,deˈzjunkt͡sʲijɐm,deˈzjunkt͡sʲijɐm
кип'яти́ння,іменник середнього роду,,однина називний,кип'яти́ння,kepjɐˈtɪnʲːɐ,kepjɐˈtɪnʲːɐ,kepjɐˈtɪnʲːɐ
роз'я́снення,іменник середнього роду,,однина орудний,роз'я́сненням,rɔˈzjɑsnenʲːɐm,rɔˈzjɑsnenʲːɐm,rɔˈzjɑsnenʲːɐm
нез'я́влення,іменник середнього роду,,однина місцевий,нез'я́вленні,neˈzjɑu̯lenʲːi,neˈzjɑu̯lenʲːi,neˈzjɑu̯lenʲːi
зав'ю́шитися,дієслово доконаного виду,,майбутній час однина 1 особа,зав'ю́шуся,zɐu̯ˈjuʃʊsʲɐ,zɐu̯ˈjuʃʊsʲɐ,zɐu̯ˈjuʃʊsʲɐ
роз'ї́хатися,дієслово доконаного виду,,Інфінітив,роз'ї́хатися,rɔˈzjixɐtesʲɐ,rɔˈzjixɐtesʲɐ,rɔˈzjixɐtesʲɐ
під'їжджа́ти,дієслово недоконаного виду,,теперішній час однина 1 особа,під'їжджа́ю,pʲidjiˈʒd͡ʒɑjʊ,pʲidjiˈʒd͡ʒɑjʊ,pʲidjiˈʒd͡ʒɑjʊ
роз'я́снювати,дієслово недоконаного виду,,минулий час однина сер. р.,роз'я́снювало,rɔˈzjɑsʲnʲʊu̯ɐlɔ,rɔˈzjɑsʲnʲʊu̯ɐlɔ,rɔˈzjɑsʲnʲʊu̯ɐlɔ
реп'яхува́тий,прикметник,,однина жін. р. родовий,реп'яхува́тої,repjɐxʊˈu̯ɑtɔji,repjɐxʊˈu̯ɑtɔji,repjɐxʊˈu̯ɑtɔji
нав'я́зуваний,дієприкметник,,множина називний,нав'я́зувані,nɐu̯ˈjɑzʊu̯ɐnʲi,nɐu̯ˈjɑzʊu̯ɐnʲi,nɐu̯ˈjɑzʊu̯ɐnʲi
дов'я́зуватися,дієслово недоконаного виду,,минулий час множина жін. р.,дов'я́зувались,dɔu̯ˈjɑzʊu̯ɐlesʲ,dɔu̯ˈjɑzʊu̯ɐlesʲ,dɔu̯ˈjɑzʊu̯ɐlesʲ
хом'які́вський,прикметник,,однина жін. р. родовий,хом'які́вської,xɔmjɐˈkʲiu̯sʲkɔji,xɔmjɐˈkʲiu̯sʲkɔji,xɔmjɐˈkʲiu̯sʲkɔji
диз'юнкти́вний,прикметник,,однина чол. р. знахідний,диз'юнкти́вний,dezjʊnˈktɪu̯nei̯,dezjʊnˈktɪu̯nei̯,dezjʊnˈktɪu̯nei̯
рев'я́кинський,прикметник,,однина чол. р. знахідний,рев'я́кинський,reu̯ˈjɑkenʲsʲkei̯,reu̯ˈjɑkenʲsʲkei̯,reu̯ˈjɑkenʲsʲkei̯
куп'єва́тський,прикметник,,множина орудний,куп'єва́тськими,kʊpjeˈu̯ɑt͡sʲkeme,kʊpjeˈu̯ɑt͡sʲkeme,kʊpjeˈu̯ɑt͡sʲkeme
роз'єрепе́нитися,дієслово доконаного виду,,минулий час множина сер.р.,роз'єрепе́нилися,rɔzjereˈpɛnelesʲɐ,rɔzjereˈpɛnelesʲɐ,rɔzjereˈpɛnelesʲɐ
кам'яногі́рський,прикметник,,однина жін. р. знахідний,кам'яногі́рську,kɐmjɐnoˈɦʲirsʲkʊ,kɐmjɐnoˈɦʲirsʲkʊ,kɐmjɐnoˈɦʲirsʲkʊ
дев'ятикілометро́вий,прикметник,9-кілометро́вий,однина жін. р. давальний,дев'ятикілометро́вій,deu̯jɐtekʲilɔmeˈtrɔu̯ʲii̯,deu̯jɐtekʲilɔmeˈtrɔu̯ʲii̯,deu̯jɐtekʲilɔmeˈtrou̯ʲii̯
син,"іменник чоловічого роду, істота",,однина родовий,си́на,ˈsɪnɐ,ˈsɪnɐ,ˈsɪnɐ
сив,"іменник чоловічого роду, істота",,однина давальний,си́вові,ˈsɪu̯ɔu̯ʲi,ˈsɪu̯ɔu̯ʲi,ˈsɪu̯ɔu̯ʲi
Фот,"іменник чоловічого роду, істота",ім'я,множина родовий,Фо́тів,ˈfɔtʲiu̯,ˈfɔtʲiu̯,ˈfotʲiu̯
язь,"іменник чоловічого роду, істота",риба,множина орудний,язя́ми,jɐˈzʲɑme,jɐˈzʲɑme,jɐˈzʲɑme
дон,"іменник чоловічого роду, істота",титул і його носій,однина давальний,до́ну,ˈdɔnʊ,ˈdɔnʊ,ˈdonʊ
лох,"іменник чоловічого роду, істота",лосось,однина називний,лох,ˈlɔx,ˈlɔx,lɔx
хащ,іменник чоловічого роду,,однина кличний,ха́щу,ˈxɑʃt͡ʃʊ,ˈxɑʃt͡ʃʊ,ˈxɑʃt͡ʃʊ
мох,іменник чоловічого роду,,однина давальний,мо́хові,ˈmɔxɔu̯ʲi,ˈmɔxɔu̯ʲi,ˈmoxɔu̯ʲi
пік,іменник чоловічого роду,,однина давальний,пі́кові,ˈpʲikɔu̯ʲi,ˈpʲikɔu̯ʲi,ˈpʲikɔu̯ʲi
цех,іменник чоловічого роду,,множина кличний,цехи́,t͡seˈxɪ,t͡seˈxɪ,t͡seˈxɪ
чат,іменник чоловічого роду,,множина називний,ча́ти,ˈt͡ʃɑte,ˈt͡ʃɑte,ˈt͡ʃɑte
жуз,іменник чоловічого роду,,множина місцевий,жу́зах,ˈʒuzɐx,ˈʒuzɐx,ˈʒuzɐx
дух,іменник чоловічого роду,у міфології,однина місцевий,ду́ху,ˈduxʊ,ˈduxʊ,ˈduxʊ
зик,іменник чоловічого роду,крик; галас,однина давальний,зи́ку,ˈzɪkʊ,ˈzɪkʊ,ˈzɪkʊ
Рей,іменник чоловічого роду,місто в Ірані,однина місцевий,Ре́ї,ˈrɛji,ˈrɛji,ˈrɛji
Кан,іменник чоловічого роду,місто у Франції,однина знахідний,Кан,ˈkɑn,ˈkɑn,ˈkɑn
бик,іменник чоловічого роду,казан,множина орудний,бика́ми,beˈkɑme,beˈkɑme,beˈkɑme
вал,іменник чоловічого роду,насип; ряд; хвиля; нитки,множина родовий,валі́в,ʋɐˈlʲiu̯,ʋɐˈlʲiu̯,ʋɐˈlʲiu̯
пай,іменник чоловічого роду,частка; внесок,однина знахідний,пай,ˈpɑi̯,ˈpɑi̯,ˈpɑi̯
Ваш,іменник чоловічого роду,область в Угорщині,однина давальний,Ва́шеві,ˈʋɑʃeu̯ʲi,ˈʋɑʃeu̯ʲi,ˈʋɑʃeu̯ʲi
бак,іменник чоловічого роду,частина судна,множина родовий,ба́ків,ˈbɑkʲiu̯,ˈbɑkʲiu̯,ˈbɑkʲiu̯
чий,іменник чоловічого роду,рослина,однина називний,чий,ˈt͡ʃɪi̯,ˈt͡ʃɪi̯,ˈt͡ʃɪi̯
чек,іменник чоловічого роду,документ,множина орудний,че́ками,ˈt͡ʃɛkɐme,ˈt͡ʃɛkɐme,ˈt͡ʃɛkɐme
Вир,іменник чоловічого роду,населений пункт в Україні,однина місцевий,Ви́рі,ˈʋɪrʲi,ˈʋɪrʲi,ˈʋɪrʲi
бар,іменник чоловічого роду,невеликий ресторан,множина знахідний,ба́ри,ˈbɑre,ˈbɑre,ˈbɑre
пак,іменник чоловічого роду,багаторічний лід,однина знахідний,пак,ˈpɑk,ˈpɑk,ˈpɑk
Сом,прізвище,,чол. р. давальний,Со́му,ˈsɔmʊ,ˈsɔmʊ,ˈsomʊ
Кер-Д'Але́йн,іменник чоловічого роду,місто в США,однина місцевий,Кер-Д'Але́йні,ker-dɐˈlɛi̯nʲi,ker-dɐˈlɛi̯nʲi,ker-dɐˈlɛi̯nʲi
вік-е́нд,іменник чоловічого роду,,однина знахідний,вік-е́нд,ʋʲik-ˈɛnd,ʋʲik-ˈɛnd,ʋʲik-ˈɛnd
цех-автома́т,іменник чоловічого роду,,множина орудний,цеха́ми-автома́тами,t͡seˈxɑme-ɐu̯tɔˈmɑtɐme,t͡seˈxɑme-ɐu̯tɔˈmɑtɐme,t͡seˈxɑme-ɐu̯tɔˈmɑtɐme
Сан-Сальвадо́р,іменник чоловічого роду,острів в Антильському архіпелазі,однина родовий,Сан-Сальвадо́ру,sɐn-sɐlʲʋɐˈdɔrʊ,sɐn-sɐlʲʋɐˈdɔrʊ,sɐn-sɐlʲʋɐˈdorʊ
гай-мо́шенський,прикметник,,множина знахідний,гай-мо́шенські,ɦɐj-ˈmɔʃensʲkʲi,ɦɐj-ˈmɔʃensʲkʲi,ɦɐj-ˈmoʃensʲkʲi
дар-наде́ждинський,прикметник,,однина чол. р. орудний,дар-наде́ждинським,dɐr-nɐˈdɛʒdenʲsʲkem,dɐr-nɐˈdɛʒdenʲsʲkem,dɐr-nɐˈdɛʒdenʲsʲkem
Ту́р'ї,множинний іменник,населений пункт в Україні,множина називний,Ту́р'ї,ˈturji,ˈturji,ˈturji
звір'я́,іменник середнього роду,,однина називний,звір'я́,zʲʋʲiˈrjɑ,zʲʋʲiˈrjɑ,zʲʋʲiˈrjɑ
Гу́р'єв,прізвище,,множина знахідний,Гу́р'євих,ˈɦurjeu̯ex,ˈɦurjeu̯ex,ˈɦurjeu̯ex
да́р'їно-єрмакі́вський,прикметник,,однина жін. р. родовий,да́р'їно-єрмакі́вської,ˈdɑrjinɔ-jermɐˈkʲiu̯sʲkɔji,ˈdɑrjinɔ-jermɐˈkʲiu̯sʲkɔji,ˈdɑrjinɔ-jermɐˈkʲiu̯sʲkɔji
ви́м'ятий,дієприкметник,,однина чол. р. орудний,ви́м'ятим,ˈʋɪmjɐtem,ˈʋɪmjɐtem,ˈʋɪmjɐtem
Слив'я́нка,іменник жіночого роду,населений пункт в Україні,однина орудний,Слив'я́нкою,sleu̯ˈjɑnkɔjʊ,sleu̯ˈjɑnkɔjʊ,sleu̯ˈjɑnkɔjʊ
Слив'я́нка,іменник жіночого роду,населений пункт в Україні,однина давальний,Слив'я́нці,sleu̯ˈjɑnʲt͡sʲi,sleu̯ˈjɑnʲt͡sʲi,sleu̯ˈjɑnʲt͡sʲi
обіп'я́сти,дієслово доконаного виду,,минулий час множина сер.р.,обіп'яли́,ɔbʲipjɐˈlɪ,ɔbʲipjɐˈlɪ,ɔbʲipjɐˈlɪ
обіп'я́сти,дієслово доконаного виду,,наказовий спосіб множина 1 особа,обіпні́мо,ɔbʲiˈpnʲimɔ,ɔbʲiˈpnʲimɔ,ɔbʲiˈpnʲimɔ
сріб'я́ний,прикметник,,однина чол. р. давальний,сріб'я́ному,sʲrʲiˈbjɑnɔmʊ,sʲrʲiˈbjɑnɔmʊ,sʲrʲiˈbjɑnɔmʊ
прип'я́тий,дієприкметник,,однина жін. р. місцевий,прип'я́тій,preˈpjɑtʲii̯,preˈpjɑtʲii̯,preˈpjɑtʲii̯
пров'яли́ти,дієслово доконаного виду,,майбутній час множина 1 особа,пров'яли́м,prɔu̯jɐˈlɪm,prɔu̯jɐˈlɪm,prɔu̯jɐˈlɪm
пред'явни́ця,"іменник жіночого роду, істота",,множина родовий,пред'явни́ць,predjɐu̯ˈnɪt͡sʲ,predjɐu̯ˈnɪt͡sʲ,predjɐu̯ˈnɪt͡sʲ
прип'ясти́ся,дієслово доконаного виду,,наказовий спосіб множина 2 особа,припні́ться,preˈpnʲit͡sʲːɐ,preˈpnʲit͡sʲːɐ,preˈpnʲit͡sʲːɐ
пооб'їзди́ти,дієслово доконаного виду,їздячи побувати в багатьох місцях,минулий час однина жін.р.,пооб'їзди́ла,pɔɔbjiˈzdɪlɐ,pɔɔbjiˈzdɪlɐ,pɔɔbjiˈzdɪlɐ
ку́п'янський,прикметник,,однина жін. р. знахідний,ку́п'янську,ˈkupjɐnʲsʲkʊ,ˈkupjɐnʲsʲkʊ,ˈkupjɐnʲsʲkʊ
спом'я́нутий,дієприкметник,,множина місцевий,спом'я́нутих,spɔˈmjɑnʊtex,spɔˈmjɑnʊtex,spɔˈmjɑnʊtex
пров'я́лювати,дієслово недоконаного виду,,майбутній час множина 3 особа,пров'я́люватимуть,prɔu̯ˈjɑlʲʊu̯ɐtemʊtʲ,prɔu̯ˈjɑlʲʊu̯ɐtemʊtʲ,prɔu̯ˈjɑlʲʊu̯ɐtemʊtʲ
пост'я́дерний,прикметник,,однина сер. р. місцевий,пост'я́дернім,pɔˈstjɑdernʲim,pɔˈstjɑdernʲim,pɔˈstjɑdernʲim
надп'я́ткови́й,прикметник,,множина родовий,надп'я́ткови́х,nɐˈdpjɑtkɔˈu̯ɪx,nɐˈdpjɑtkɔˈu̯ɪx,nɐˈdpjɑtkɔˈu̯ɪx
ри́б'янцівський,прикметник,,однина жін. р. називний,ри́б'янцівська,ˈrɪbjɐnʲt͡sʲiu̯sʲkɐ,ˈrɪbjɐnʲt͡sʲiu̯sʲkɐ,ˈrɪbjɐnʲt͡sʲiu̯sʲkɐ
розв'я́зувальний,прикметник,,однина сер. р. родовий,розв'я́зувального,rɔˈzʋjɑzʊu̯ɐlʲnɔɦɔ,rɔˈzʋjɑzʊu̯ɐlʲnɔɦɔ,rɔˈzʋjɑzʊu̯ɐlʲnɔɦɔ
слов'янофі́льство,іменник середнього роду,,однина знахідний,слов'янофі́льство,slɔu̯jɐnoˈfʲilʲstwɔ,slɔu̯jɐnoˈfʲilʲstwɔ,slɔu̯jɐnoˈfʲilʲstwɔ
комп'ютеризиро́ваний,дієприкметник,,однина чол. р. давальний,комп'ютеризиро́ваному,kɔmpjʊterezeˈrɔu̯ɐnɔmʊ,kɔmpjʊterezeˈrɔu̯ɐnɔmʊ,kɔmpjʊterezeˈrou̯ɐnɔmʊ
яга́,"іменник жіночого роду, істота",,однина родовий,яги́,jɐˈɦɪ,jɐˈɦɪ,jɐˈɦɪ
А́за,"іменник жіночого роду, істота",,множина називний,А́зи,ˈɑze,ˈɑze,ˈɑze
твар,"іменник жіночого роду, істота",тварина,множина орудний,тва́рями,ˈtʋɑrʲɐme,ˈtʋɑrʲɐme,ˈtʋɑrʲɐme
ага́,"іменник чоловічого роду, істота","титул начальника, старшини та звертання до шанованої людини на Середньому Сході",множина давальний,ага́м,ɐˈɦɑm,ɐˈɦɑm,ɐˈɦɑm
Спас,"іменник чоловічого роду, істота","Спаситель, Ісус Христос",однина місцевий,Спа́сі,ˈspɑsʲi,ˈspɑsʲi,ˈspɑsʲi
Є́жи,"іменник чоловічого роду, істота",,однина орудний,Є́жи,ˈjɛʒe,ˈjɛʒe,ˈjɛʒe
мсьє,"іменник чоловічого роду, істота",,однина кличний,мсьє,mˈsʲjɛ,mˈsʲjɛ,mˈsʲjɛ
сорб,"іменник чоловічого роду, істота",,однина родовий,со́рба,ˈsɔrbɐ,ˈsɔrbɐ,ˈsorbɐ
шпиг,"іменник чоловічого роду, істота",,однина родовий,шпи́га,ˈʃpɪɦɐ,ˈʃpɪɦɐ,ˈʃpɪɦɐ
тхір,"іменник чоловічого роду, істота",,множина кличний,тхори́,txɔˈrɪ,txɔˈrɪ,txɔˈrɪ
сорб,"іменник чоловічого роду, істота",,множина називний,со́рби,ˈsɔrbe,ˈsɔrbe,ˈsorbe
враг,"іменник чоловічого роду, істота",ворог - поет.; чорт - лайл.,множина давальний,врага́м,wrɐˈɦɑm,wrɐˈɦɑm,wrɐˈɦɑm
брит,"іменник чоловічого роду, істота",представник стародавнього кельтського народу,однина родовий,бри́та,ˈbrɪtɐ,ˈbrɪtɐ,ˈbrɪtɐ
ле́я,іменник жіночого роду,грошова одиниця Молдови та Румунії,однина давальний,ле́ї,ˈlɛji,ˈlɛji,ˈlɛji
Кешм,іменник чоловічого роду,"острів в Ормузькій протоці, належить Ірану",однина називний,Кешм,ˈkɛʃm,ˈkɛʃm,ˈkɛʃm
гель,іменник чоловічого роду,,однина кличний,ге́лю,ˈɦɛlʲʊ,ˈɦɛlʲʊ,ˈɦɛlʲʊ
загс,іменник чоловічого роду,,однина родовий,за́гсу,ˈzɑɦsʊ,ˈzɑɦsʊ,ˈzɑɦsʊ
труп,іменник чоловічого роду,,однина кличний,тру́пе,ˈtrupe,ˈtrupe,ˈtrupe
чмут,іменник чоловічого роду,,однина родовий,чму́та,ˈt͡ʃmutɐ,ˈt͡ʃmutɐ,ˈt͡ʃmutɐ
жмут,іменник чоловічого роду,,однина місцевий,жму́ті,ˈʒmutʲi,ˈʒmutʲi,ˈʒmutʲi
кекс,іменник чоловічого роду,,однина місцевий,ке́ксі,ˈkɛksʲi,ˈkɛksʲi,ˈkɛksʲi
курс,іменник чоловічого роду,,однина місцевий,ку́рсі,ˈkursʲi,ˈkursʲi,ˈkursʲi
